water_system_no,water_system_name,type,status,county,source_type,link
SC3110001,BISHOPVILLE TOWN OF (SC3110001),C,A,LEE,GW,
SC0720003,BJW&SA (SC0720003),C,A,BEAUFORT,SW,
SC2750031,BJW&SA PALM KEY (2750031),C,A,JASPER,GW,
SC2750028,BJW&SA POINT SOUTH (2750028),NTNC,A,JASPER,GW,
SC0870216,BLACKS CAMP (SC0870216),NC,A,BERKELEY,GW,
SC1110002,BLACKSBURG TOWN OF (SC1110002),C,A,CHEROKEE,SWP,
SC1270915,BLACKSTOCK DEPOT (SC1270915),NC,A,CHESTER,GW,
SC2070909,BLACKSTOCK FISH CAMP (SC2070909),NC,A,FAIRFIELD,GW,
SC0610003,BLACKVILLE TOWN OF (SC0610003),C,A,BARNWELL,GW,
SC3860007,BLOUNT'S LANDING (SC3860007),NC,A,ORANGEBURG,GW,
SC2320003,BLUE RIDGE WATER CO INC (SC2320003),C,A,GREENVILLE,SWP,
SC1373001,BLUE TRITON SPRING SITE(SC1373001),NC,A,FLORENCE,GW,
SC1072017,BLUEFIN CANTINA (SC1072017),NC,A,CHARLESTON,GW,
SC3980007,BLUNOSE 12 MILE BEACH (SC3980007),NC,A,PICKENS,SWP,
SC3980008,BLUNOSE 12 MILE BOAT RAMP(SC3980008),NC,A,PICKENS,SWP,
SC2380035,BLUNOSE ICE PARK WEST BLVD (SC2380035),NC,A,GREENVILLE,SWP,
SC4070914,BLYTHEWOOD STOP N SHOP (4070914),NC,A,RICHLAND,GW,
SC0270206,BOBBY'S BBQ (SC0270206),NC,A,AIKEN,GW,
SC4570945,BOBOS ON THE RIVER (SC4570945),NC,A,WILLIAMSBURG,GW,
SC3774005,BOONDOCKS GENERAL STORE (SC3774005),NC,A,OCONEE,GW,
SC1572004,BOURBON CREEK BAR & GRILL (SC1572004),NC,A,COLLETON,GW,
SC3810004,BOWMAN TOWN OF (SC3810004),C,A,ORANGEBURG,SWP,
SC0270908,BOYD POND PARK (0270908),NC,A,AIKEN,GW,
SC0870813,BOYKINS HIDEOUT (SC0870813),NC,A,BERKELEY,GW,
SC3670108,BOYS FARM INC (SC3670108),C,A,NEWBERRY,GW,
SC3810005,BRANCHVILLE TOWN OF (3810005),C,A,ORANGEBURG,GW,
SC3772009,BRASSTOWN CREEK GATHERING PL (SC3772009),NC,A,OCONEE,GW,
SC4670938,BRATTONSVILLE (SC4670938),NC,A,YORK,GW,
SC0772002,BRAYS ISLAND PLANTATION COLONY (0772002),NC,A,BEAUFORT,GW,
SC0220006,BREEZY HILL W/D (SC0220006),C,A,AIKEN,SW,
SC1570922,BRELAND COUNTRY STORE (1570922),NC,A,COLLETON,GW,
SC2770916,BRENDA'S COUNTRY STORE (SC2770916),NC,A,JASPER,GW,
SC0760076,BRIARWOOD MHP (SC0760076),C,A,BEAUFORT,GW,
SC1574004,BRIDGEWAY HOLDINGS LLC (SC1574004),NC,A,COLLETON,GW,
SC0720009,BROAD CREEK PSD (SC0720009),C,A,BEAUFORT,SWP,
SC1270901,BROAD RIVER MART (SC1270901),NC,A,CHESTER,GW,
SC2070801,BROAD RIVER RV PARK (SC2070801),NC,A,FAIRFIELD,GW,
NC0181035,BROAD RIVER WATER AUTHORITY,,A,,,
SC0420008,BROADWAY W&S DISTRICT (SC0420008),C,A,ANDERSON,SWP,
SC1870675,BROSNAN FOREST #1 (SC1870675),NC,A,DORCHESTER,GW,
SC1870676,BROSNAN FOREST #2 (1870676),NC,A,DORCHESTER,GW,
SC4420002,BROWNS CREEK W/D (SC4420002),C,A,UNION,SWP,
SC2220003,BROWNS FERRY WATER CO (SC2220003),C,A,GEORGETOWN,GW,
SC1570928,BROXTON BRIDGE PLANTATION BNB (1570928),NC,A,COLLETON,GW,
SC1570805,BROXTON BRIDGE PLANTATION CG (1570805),NC,A,COLLETON,GW,
SC2510004,BRUNSON TOWN OF (SC2510004),C,A,HAMPTON,GW,
